,precision,recall,f1-score,support
Apple___Apple_scab,0.996031746031746,0.996031746031746,0.996031746031746,252.0
Apple___Black_rot,0.9959839357429718,1.0,0.9979879275653923,248.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,220.0
Apple___healthy,0.996031746031746,1.0,0.9980119284294234,251.0
Blueberry___healthy,1.0,1.0,1.0,227.0
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,210.0
Cherry_(including_sour)___healthy,0.9956140350877193,0.9956140350877193,0.9956140350877193,228.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.994535519125683,0.8878048780487805,0.9381443298969072,205.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,238.0
Corn_(maize)___Northern_Leaf_Blight,0.915057915057915,0.9957983193277311,0.9537223340040242,238.0
Corn_(maize)___healthy,1.0,1.0,1.0,232.0
Grape___Black_rot,0.9915966386554622,1.0,0.9957805907172996,236.0
Grape___Esca_(Black_Measles),1.0,0.9916666666666667,0.99581589958159,240.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,215.0
Grape___healthy,1.0,1.0,1.0,211.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,251.0
Peach___Bacterial_spot,0.9956331877729258,0.9956331877729258,0.9956331877729258,229.0
Peach___healthy,1.0,0.9953703703703703,0.9976798143851509,216.0
"Pepper,_bell___Bacterial_spot",1.0,1.0,1.0,239.0
"Pepper,_bell___healthy",1.0,1.0,1.0,248.0
Potato___Early_blight,1.0,1.0,1.0,242.0
Potato___Late_blight,1.0,0.987603305785124,0.9937629937629938,242.0
Potato___healthy,0.991304347826087,1.0,0.9956331877729258,228.0
Raspberry___healthy,1.0,0.990990990990991,0.995475113122172,222.0
Soybean___healthy,0.996031746031746,0.996031746031746,0.996031746031746,252.0
Squash___Powdery_mildew,1.0,1.0,1.0,217.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,222.0
Strawberry___healthy,1.0,1.0,1.0,228.0
Tomato___Bacterial_spot,0.9953051643192489,1.0,0.9976470588235294,212.0
Tomato___Early_blight,0.956,0.9958333333333333,0.9755102040816327,240.0
Tomato___Late_blight,0.991304347826087,0.987012987012987,0.9891540130151844,231.0
Tomato___Leaf_Mold,0.9957627118644068,1.0,0.9978768577494692,235.0
Tomato___Septoria_leaf_spot,0.990909090909091,1.0,0.9954337899543378,218.0
Tomato___Spider_mites Two-spotted_spider_mite,1.0,0.9769585253456221,0.9883449883449883,217.0
Tomato___Target_Spot,0.9773755656108597,0.9473684210526315,0.9621380846325167,228.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,1.0,1.0,245.0
Tomato___Tomato_mosaic_virus,0.9955555555555555,1.0,0.9977728285077951,224.0
Tomato___healthy,0.995850622406639,1.0,0.997920997920998,240.0
accuracy,0.9935057536743762,0.9935057536743762,0.9935057536743762,0.9935057536743762
macro avg,0.9938390493646287,0.9931504871804835,0.993345359399802,8777.0
weighted avg,0.9937352613217443,0.9935057536743762,0.993478545507303,8777.0
